Year,Area,Country area,Forest land,Land area,Naturally regenerating forest,Planted Forest,Share of forests in Land area,Share of naturally regenerating forest,Share of planted forests,Carbon stock in Living Biomass,C02 removal from forest land,Net Forest conversion,Tree covered areas MODIS
2000,Argentina,278040.0,33378.0,273669.0,32302.0,1076.0,12.2,96.78,3.22,3551.4192,-40102.7293,81523.288,
2000,Bolivia,109858.0,55101.39,108330.0,55066.33,35.06,50.86,99.94,0.06,4242.256,-425.1388,76739.2436,
2000,Brazil,851577.0,551088.6,835814.0,547436.4,3652.2,65.93,99.34,0.66,55863.8514,-346950.8412,1385208.6765,
2000,Chile,75609.6,15817.06,74353.2,13538.92,2278.14,21.27,85.6,14.4,2105.567,-20763.102,3010.0184,
2000,Colombia,114175.0,62735.5,110950.0,62569.8,165.7,56.54,99.74,0.26,7080.9559,-2843.1953,94828.6335,
2000,Ecuador,25637.0,13730.5,24836.0,13660.35,70.15,55.28,99.49,0.51,1517.3576,-1042.183,37579.7727,
2000,French Guiana,8350.0,8079.44,8271.0,8078.74,0.7,97.68,99.99,0.01,1718.9009,0.0,3554.0597,
2000,Guyana,21497.0,18564.22,19685.0,18564.22,0.0,94.31,100.0,0.0,5360.2329,0.0,4015.6997,
2000,Paraguay,40675.0,22991.65,39730.0,22961.13,30.52,57.87,99.87,0.13,1031.8653,-333.7277,42365.8074,
2000,Peru,128522.0,75297.83,128000.0,74582.74,715.09,58.83,99.05,0.95,10651.631,-23449.3055,83135.0989,
2000,South America,1780366.6,922645.06,1746162.2,913238.79,9406.27,52.84,98.98,1.02,102379.7812,-448224.4556,1957155.7589,
2000,Suriname,16382.0,15340.87,15600.0,15326.72,14.15,98.34,99.91,0.09,3238.3042,-89.0096,2934.2214,
2000,Uruguay,17622.0,1369.0,17502.0,740.0,629.0,7.82,54.05,45.95,78.033,-13373.492,0.0,
2000,Venezuela,91205.0,49151.0,88205.0,48411.44,739.56,55.72,98.5,1.5,5939.4068,1148.2689,142261.2391,
2001,Argentina,278040.0,33061.6,273669.0,31974.5,1087.1,12.08,96.71,3.29,3526.3652,-35904.11,127768.6667,67523.1
2001,Bolivia,109858.0,54899.852,108330.0,54863.285,36.567,50.68,99.93,0.07,4226.7396,-425.4211,57318.9267,73651.1
